,cNum,Title,Ratings
0,"1.
      The Shawshank Redemption
(1994)",The Shawshank Redemption,9.2
1,"2.
      The Godfather
(1972)",The Godfather,9.2
2,"3.
      The Dark Knight
(2008)",The Dark Knight,9.0
3,"4.
      The Godfather Part II
(1974)",The Godfather Part II,9.0
4,"5.
      12 Angry Men
(1957)",12 Angry Men,8.9
5,"6.
      Schindler's List
(1993)",Schindler's List,8.9
6,"7.
      The Lord of the Rings: The Return of the King
(2003)",The Lord of the Rings: The Return of the King,8.9
7,"8.
      Pulp Fiction
(1994)",Pulp Fiction,8.8
8,"9.
      The Lord of the Rings: The Fellowship of the Ring
(2001)",The Lord of the Rings: The Fellowship of the Ring,8.8
9,"10.
      The Good, the Bad and the Ugly
(1966)","The Good, the Bad and the Ugly",8.8
10,"11.
      Forrest Gump
(1994)",Forrest Gump,8.8
11,"12.
      Fight Club
(1999)",Fight Club,8.7
12,"13.
      Inception
(2010)",Inception,8.7
13,"14.
      The Lord of the Rings: The Two Towers
(2002)",The Lord of the Rings: The Two Towers,8.7
14,"15.
      Star Wars: Episode V - The Empire Strikes Back
(1980)",Star Wars: Episode V - The Empire Strikes Back,8.7
15,"16.
      The Matrix
(1999)",The Matrix,8.7
16,"17.
      Goodfellas
(1990)",Goodfellas,8.7
17,"18.
      One Flew Over the Cuckoo's Nest
(1975)",One Flew Over the Cuckoo's Nest,8.6
18,"19.
      Se7en
(1995)",Se7en,8.6
19,"20.
      Seven Samurai
(1954)",Seven Samurai,8.6
20,"21.
      It's a Wonderful Life
(1946)",It's a Wonderful Life,8.6
21,"22.
      The Silence of the Lambs
(1991)",The Silence of the Lambs,8.6
22,"23.
      City of God
(2002)",City of God,8.6
23,"24.
      Saving Private Ryan
(1998)",Saving Private Ryan,8.6
24,"25.
      Life Is Beautiful
(1997)",Life Is Beautiful,8.6
25,"26.
      The Green Mile
(1999)",The Green Mile,8.6
26,"27.
      Interstellar
(2014)",Interstellar,8.6
27,"28.
      Star Wars
(1977)",Star Wars,8.6
28,"29.
      Terminator 2: Judgment Day
(1991)",Terminator 2: Judgment Day,8.5
29,"30.
      Back to the Future
(1985)",Back to the Future,8.5
30,"31.
      Spirited Away
(2001)",Spirited Away,8.5
31,"32.
      Psycho
(1960)",Psycho,8.5
32,"33.
      The Pianist
(2002)",The Pianist,8.5
33,"34.
      Léon: The Professional
(1994)",Léon: The Professional,8.5
34,"35.
      Parasite
(2019)",Parasite,8.5
35,"36.
      The Lion King
(1994)",The Lion King,8.5
36,"37.
      Gladiator
(2000)",Gladiator,8.5
37,"38.
      American History X
(1998)",American History X,8.5
38,"39.
      The Departed
(2006)",The Departed,8.5
39,"40.
      The Usual Suspects
(1995)",The Usual Suspects,8.5
40,"41.
      The Prestige
(2006)",The Prestige,8.5
41,"42.
      Casablanca
(1942)",Casablanca,8.5
42,"43.
      Whiplash
(2014)",Whiplash,8.5
43,"44.
      The Intouchables
(2011)",The Intouchables,8.5
44,"45.
      Grave of the Fireflies
(1988)",Grave of the Fireflies,8.5
45,"46.
      Harakiri
(1962)",Harakiri,8.5
46,"47.
      Modern Times
(1936)",Modern Times,8.4
47,"48.
      Once Upon a Time in the West
(1968)",Once Upon a Time in the West,8.4
48,"49.
      Rear Window
(1954)",Rear Window,8.4
49,"50.
      Alien
(1979)",Alien,8.4
50,"51.
      City Lights
(1931)",City Lights,8.4
51,"52.
      Cinema Paradiso
(1988)",Cinema Paradiso,8.4
52,"53.
      Apocalypse Now
(1979)",Apocalypse Now,8.4
53,"54.
      Memento
(2000)",Memento,8.4
54,"55.
      Indiana Jones and the Raiders of the Lost Ark
(1981)",Indiana Jones and the Raiders of the Lost Ark,8.4
55,"56.
      Django Unchained
(2012)",Django Unchained,8.4
56,"57.
      WALL·E
(2008)",WALL·E,8.4
57,"58.
      The Lives of Others
(2006)",The Lives of Others,8.4
58,"59.
      Sunset Blvd.
(1950)",Sunset Blvd.,8.4
59,"60.
      Paths of Glory
(1957)",Paths of Glory,8.4
60,"61.
      The Shining
(1980)",The Shining,8.4
61,"62.
      The Great Dictator
(1940)",The Great Dictator,8.4
62,"63.
      Avengers: Infinity War
(2018)",Avengers: Infinity War,8.4
63,"64.
      Witness for the Prosecution
(1957)",Witness for the Prosecution,8.4
64,"65.
      Top Gun: Maverick
(2022)",Top Gun: Maverick,8.3
65,"66.
      Aliens
(1986)",Aliens,8.3
66,"67.
      American Beauty
(1999)",American Beauty,8.3
67,"68.
      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
(1964)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
68,"69.
      Spider-Man: Into the Spider-Verse
(2018)",Spider-Man: Into the Spider-Verse,8.3
69,"70.
      The Dark Knight Rises
(2012)",The Dark Knight Rises,8.3
70,"71.
      Oldboy
(2003)",Oldboy,8.3
71,"72.
      Joker
(2019)",Joker,8.3
72,"73.
      Amadeus
(1984)",Amadeus,8.3
73,"74.
      Braveheart
(1995)",Braveheart,8.3
74,"75.
      Toy Story
(1995)",Toy Story,8.3
75,"76.
      Coco
(2017)",Coco,8.3
76,"77.
      Inglourious Basterds
(2009)",Inglourious Basterds,8.3
77,"78.
      The Boat
(1981)",The Boat,8.3
78,"79.
      Princess Mononoke
(1997)",Princess Mononoke,8.3
79,"80.
      Avengers: Endgame
(2019)",Avengers: Endgame,8.3
80,"81.
      Once Upon a Time in America
(1984)",Once Upon a Time in America,8.3
81,"82.
      Good Will Hunting
(1997)",Good Will Hunting,8.3
82,"83.
      Your Name.
(2016)",Your Name.,8.3
83,"84.
      Requiem for a Dream
(2000)",Requiem for a Dream,8.3
84,"85.
      Toy Story 3
(2010)",Toy Story 3,8.3
85,"86.
      Singin' in the Rain
(1952)",Singin' in the Rain,8.3
86,"87.
      3 Idiots
(2009)",3 Idiots,8.3
87,"88.
      Star Wars: Episode VI - Return of the Jedi
(1983)",Star Wars: Episode VI - Return of the Jedi,8.3
88,"89.
      High and Low
(1963)",High and Low,8.3
89,"90.
      2001: A Space Odyssey
(1968)",2001: A Space Odyssey,8.3
90,"91.
      Eternal Sunshine of the Spotless Mind
(2004)",Eternal Sunshine of the Spotless Mind,8.3
91,"92.
      Reservoir Dogs
(1992)",Reservoir Dogs,8.3
